Item,Description,Quality,Gear,Kit Lens/Lens Included,Price,Link,,,,,,,,
Student Camera,Camera for student check-out/Group Project,Affordable,"Nikon D3500 - DSLR with lense, ASPC",18-55 3.5,590,https://www.amazon.com/dp/B07GWKDLGT/ref=nosim?tag=camdec-20&th=1,OR,700,https://www.amazon.com/dp/B07GW23M7T/ref=twister_B07GY7T24C?_encoding=UTF8&psc=1,18-55 3.5,70-30mm 4.6,3,1770,2100
,,Better,"Pentax K-70 - DSLR with lense, ASPC",18-55 3.5,646,https://www.bhphotovideo.com/c/product/1338221-REG/pentax_16269_k_70_dslr_camera_with.html,,,,,,3,1938,
,,Best,"Canon M50ii - Mirrorless with lense, ASPC",18-45 3.5,700,https://www.amazon.com/dp/B08KSKV35C/ref=nosim?tag=camdec-20&th=1,,,,,,3,2100,
,,,,,,,,,,,,,,
SD Card,,,Sandisk 128GB High Speed,,34,https://www.amazon.com/SanDisk-128GB-Extreme-UHS-I-SDSDXXY-128G-GN4IN/dp/B07H9DVLBB/?tag=cameratimes-20,,,,,,6,204,
,,,,,,,,,,,,,,
Extra Batteries,,,Nikon 2 Battery pack,,21,https://www.amazon.com/LP-EN-EL14-Battery-Charger-Compatible/dp/B08V1N89KN/ref=sr_1_3?dchild=1&keywords=nikon%2Bd3500%2Bbattery&qid=1623254411&sr=8-3&th=1,,,,,,3,63,
,,,Pentax 2 Battery pack,,20,https://www.amazon.com/BM-Premium-D-LI109-Battery-Digital/dp/B01MZFSWVR/ref=sr_1_15?dchild=1&keywords=pentax+k70+battery&qid=1623254585&s=electronics&sr=1-15,,,,,,3,60,
,,,Canon 2 Battery pack,,17,https://www.amazon.com/BM-Premium-Batteries-Mirrorless-Digital/dp/B009W3WHDO/ref=sr_1_5?dchild=1&keywords=canon+m50+ii+battery&qid=1623254663&s=electronics&sr=1-5,,,,,,3,51,
,,,,,,,,,,,,,,
35mm Prime lens,,,Nikkor (nikon),35mm 1.8,197,https://www.amazon.com/Nikon-AF-S-NIKKOR-Focus-Cameras/dp/B001S2PPT0/ref=sr_1_3?dchild=1&keywords=35mm+lens+nikon+d3500&qid=1623088418&s=electronics&sr=1-3,,,,,,1,197,
,,,Pentax,35mm 1.8,128,https://www.amazon.com/Pentax-35mm-Lens-Digital-cameras/dp/B0042RTQPC/ref=sr_1_1?dchild=1&keywords=pentax+dslr+35mm&qid=1623088710&s=electronics&sr=1-1,,,,,,1,128,
,,,Canon (TTArtisan),35mm 1.8,73,https://www.bhphotovideo.com/c/product/1597195-REG/ttartisan_ttca351_4_35mm_f_1_4_lens_for.html,,,,,,1,73,
,,,,,,,,,,,,,,
85mm Prime lens,,,Meike (nikon),85mm 1.8,190,https://www.amazon.com/Meike-Aperture-Telephoto-Compatible-Cameras/dp/B08FJ3336N/ref=sr_1_5?dchild=1&keywords=85mm+lens+nikon+d3500&qid=1623088385&s=electronics&sr=1-5,,,,,,1,190,
,,,Pentax,85mm 1.8,250,https://www.amazon.com/Samyang-SY85M-P-85mm-F1-4-Pentax/dp/B006MI1XLE/ref=sr_1_5?dchild=1&keywords=pentax+dslr+85mm&qid=1623088758&s=electronics&sr=1-5,,,,,,1,250,
,,,,,,,,,,,,,,
Zoom lens,,,Canon,55-200mm *with kit (see link),230,https://www.bhphotovideo.com/c/product/1598863-REG/canon_4728c014_eos_m50_mark_ii.html,,,,,,,,
,,,,,,,,,,,,1,230,
Tripod,,,,,,,,,,,,,,
